Strain	Replicate	UVdose	RelativeSurvival								
BW25113	A1	0	100								
BW25113	A1	10	200								
BW25113	A1	20	30								
BW25113	A1	30	17.5								
BW25113	A1	40	2.25								
BW25113	A1	50	1.75								
BW25113	A1	60	0.15								
BW25113	A1	70	0.0075								
BW25113	A2	0	100								
BW25113	A2	10	76.9230769230769								
BW25113	A2	20	46.1538461538462								
BW25113	A2	30	10								
BW25113	A2	40	0.923076923076923								
BW25113	A2	50	0.0153846153846154								
BW25113	A2	60	0.001								
BW25113	A2	70	0.000769230769230769								
BW25113	A3	0	100								
BW25113	A3	10	200								
BW25113	A3	20	40								
BW25113	A3	30	20								
BW25113	A3	40	0.26								
BW25113	A3	50	0.1								
BW25113	A3	60	0.01								
BW25113	A3	70	0.0018								
BW25113	A4	0	100								
BW25113	A4	10	100								
BW25113	A4	20	27.5								
BW25113	A4	30	3.25								
BW25113	A4	40	1.5								
BW25113	A4	50	0.175								
BW25113	A4	60	0.0125								
BW25113	A4	70	0.01								
recN	B1	0	100								
recN	B1	10	37.5								
recN	B1	20	12.5								
recN	B1	30	2								
recN	B1	40	2.25								
recN	B1	50	0.375								
recN	B1	60	0.01								
recN	B1	70	0.0025								
recN	B2	0	100								
recN	B2	10	23.3333333333333								
recN	B2	20	4								
recN	B2	30	3.33333333333333								
recN	B2	40	0.333333333333333								
recN	B2	50	0.233333333333333								
recN	B2	60	0.0366666666666667								
recN	B2	70	0.000333333333333333								
recN	B3	0	100								
recN	B3	10	20								
recN	B3	20	2								
recN	B3	30	1.33333333333333								
recN	B3	40	0.0433333333333333								
recN	B3	50	0.02								
recN	B3	60	0.00333333333333333								
recN	B3	70	0.001								
recN	B4	0	100								
recN	B4	10	20								
recN	B4	20	2								
recN	B4	30	0.6								
recN	B4	40	0.2								
recN	B4	50	0.0075								
recN	B4	60	0.003								
recN	B4	70	0.0005								
