Strain	Replicate	ExposureTime	RelativeSurvival	
BW25113	A1	0	100	
BW25113	A1	1	33.3333333333333	
BW25113	A1	10	12.5	
BW25113	A1	20	14.4444444444444	
BW25113	A1	30	12.5	
BW25113	A1	40	6.15384615384615	
BW25113	A1	50	8.18181818181818	
BW25113	A1	60	8.75	
BW25113	A2	0	100	
BW25113	A2	1	80	
BW25113	A2	10	23.3333333333333	
BW25113	A2	20	8	
BW25113	A2	30	6	
BW25113	A2	40	0.777777777777778	
BW25113	A2	50	0.769230769230769	
BW25113	A2	60	0.666666666666667	
BW25113	A3	0	100	
BW25113	A3	1	140	
BW25113	A3	10	17.5	
BW25113	A3	20	10	
BW25113	A3	30	7.5	
BW25113	A3	40	2.6	
BW25113	A3	50	1.11111111111111	
BW25113	A3	60	0.571428571428571	
clpS	B1	0	100	
clpS	B1	1	25	
clpS	B1	10	12	
clpS	B1	20	10	
clpS	B1	30	2.5	
clpS	B1	40	4.25	
clpS	B1	50	2.14285714285714	
clpS	B1	60	1.22222222222222	
clpS	B2	0	100	
clpS	B2	1	2.5	
clpS	B2	10	2.66666666666667	
clpS	B2	20	1.83333333333333	
clpS	B2	30	2	
clpS	B2	40	0.1	
clpS	B2	50	0.5	
clpS	B2	60	0.2	
clpS	B3	0	100	
clpS	B3	1	5	
clpS	B3	10	10	
clpS	B3	20	0.888888888888889	
clpS	B3	30	7	
clpS	B3	40	1.5	
clpS	B3	50	2	
clpS	B3	60	1.2	
dusB	C1	0	100	
dusB	C1	1	35	
dusB	C1	10	20	
dusB	C1	20	2	
dusB	C1	30	1	
dusB	C1	40	1	
dusB	C1	50	1.44444444444444	
dusB	C1	60	1.4	
dusB	C2	0	100	
dusB	C2	1	15.5555555555556	
dusB	C2	10	8.33333333333333	
dusB	C2	20	1	
dusB	C2	30	1	
dusB	C2	40	0.333333333333333	
dusB	C2	50	0.25	
dusB	C2	60	0.166666666666667	
dusB	C3	0	100	
dusB	C3	1	50	
dusB	C3	10	17.5	
dusB	C3	20	3.75	
dusB	C3	30	0.75	
dusB	C3	40	0.333333333333333	
dusB	C3	50	0.4	
dusB	C3	60	0.4	
hfq	D1	0	100	
hfq	D1	1	23.3333333333333	
hfq	D1	10	4.28571428571429	
hfq	D1	20	7.77777777777778	
hfq	D1	30	3.75	
hfq	D1	40	6	
hfq	D1	50	3	
hfq	D1	60	2.14285714285714	
hfq	D2	0	100	
hfq	D2	1	83.3333333333333	
hfq	D2	10	13.75	
hfq	D2	20	15.7142857142857	
hfq	D2	30	36.6666666666667	
hfq	D2	40	13.3333333333333	
hfq	D2	50	8.18181818181818	
hfq	D2	60	16.6666666666667	
hfq	D3	0	100	
hfq	D3	1	30	
hfq	D3	10	18.3333333333333	
hfq	D3	20	18	
hfq	D3	30	16.6666666666667	
hfq	D3	40	10	
hfq	D3	50	5	
hfq	D3	60	10	
yaiW	E1	0	100	
yaiW	E1	1	100	
yaiW	E1	10	4.28571428571429	
yaiW	E1	20	12.5	
yaiW	E1	30	12	
yaiW	E1	40	4.44444444444444	
yaiW	E1	50	3.25	
yaiW	E1	60	2.14285714285714	
yaiW	E2	0	100	
yaiW	E2	1	16	
yaiW	E2	10	2.5	
yaiW	E2	20	1.75	
yaiW	E2	30	0.166666666666667	
yaiW	E2	40	0.125	
yaiW	E2	50	0.166666666666667	
yaiW	E2	60	0.0833333333333333	
yaiW	E3	0	100	
yaiW	E3	1	35	
yaiW	E3	10	12	
yaiW	E3	20	2.85714285714286	
yaiW	E3	30	1.25	
yaiW	E3	40	0.2	
yaiW	E3	50	0.6	
yaiW	E3	60	1.5	
ydeE	F1	0	100	
ydeE	F1	1	28.5714285714286	
ydeE	F1	10	36.6666666666667	
ydeE	F1	20	13.3333333333333	
ydeE	F1	30	7.85714285714286	
ydeE	F1	40	10.8333333333333	
ydeE	F1	50	6.92307692307692	
ydeE	F1	60	1.27272727272727	
ydeE	F2	0	100	
ydeE	F2	1	22.2222222222222	
ydeE	F2	10	50	
ydeE	F2	20	37.5	
ydeE	F2	30	10	
ydeE	F2	40	9.09090909090909	
ydeE	F2	50	17.2727272727273	
ydeE	F2	60	15.7142857142857	
ydeE	F3	0	100	
ydeE	F3	1	75	
ydeE	F3	10	50	
ydeE	F3	20	37.5	
ydeE	F3	30	75	
ydeE	F3	40	18.1818181818182	
ydeE	F3	50	28.5714285714286	
ydeE	F3	60	6.25	
